,age,region,grades,responsibility,employment,competition,gini,privatization
122,0-25,osrednjeslovenska,c,9,9,10,3,5
123,0-25,jv_slovenija,spomin,10,7,10,5,5
124,0-25,osrednjeslovenska,b,10,1,7,3,2
125,0-25,osrednjeslovenska,c,8,8,4,6,3
126,0-25,osrednjeslovenska,e,10,6,6,10,1
127,0-25,gorenjska,b,8,10,7,10,5
128,0-25,osrednjeslovenska,c,9,10,7,2,8
129,0-25,osrednjeslovenska,c,9,8,9,9,9
130,0-25,gorenjska,c,9,4,5,9,5
131,0-25,osrednjeslovenska,c,9,7,6,4,6
132,0-25,gorenjska,b,9,10,9,2,10
133,0-25,obalno_kraska,c,9,8,8,3,3
134,0-25,gorenjska,c,8,10,5,3,10
135,0-25,obalno_kraska,b,8,10,10,8,8
136,0-25,primorsko_notranjska,spomin,10,8,9,4,9
137,0-25,obalno_kraska,spomin,10,10,10,8,8
138,0-25,osrednjeslovenska,e,10,5,10,8,10
139,0-25,jv_slovenija,e,5,5,5,5,5
140,0-25,osrednjeslovenska,c,8,5,6,3,5
141,0-25,gorenjska,d,10,10,5,5,10
142,0-25,podravska,spomin,8,7,8,6,6
143,36-45,jv_slovenija,b,7,7,8,8,9
144,0-25,osrednjeslovenska,c,8,8,8,5,10
145,0-25,jv_slovenija,b,9,7,9,6,6
146,0-25,osrednjeslovenska,b,10,10,4,8,10
147,0-25,osrednjeslovenska,e,8,8,7,5,7
148,0-25,podravska,b,10,8,8,2,8
149,0-25,obalno_kraska,e,10,3,9,3,6
150,0-25,savinjska,d,8,10,8,1,10
151,0-25,gorenjska,b,8,10,7,10,5
152,0-25,osrednjeslovenska,d,10,8,9,8,10
153,0-25,koroska,c,10,10,8,1,10
154,36-45,obalno_kraska,d,10,8,8,4,9
155,0-25,gorenjska,spomin,8,9,10,7,6
156,0-25,gorenjska,b,10,8,10,4,10
157,0-25,obalno_kraska,c,9,10,8,9,7
158,0-25,osrednjeslovenska,spomin,10,7,6,9,4
159,0-25,savinjska,spomin,8,2,7,8,7
160,0-25,zasavska,d,7,3,7,3,6
161,0-25,pomurska,b,9,6,8,6,6
162,0-25,osrednjeslovenska,b,8,9,9,5,10
163,0-25,gorenjska,d,9,9,8,3,8
164,0-25,pomurska,a,10,6,10,10,9
165,0-25,osrednjeslovenska,d,10,10,10,1,10
166,0-25,primorsko_notranjska,d,8,6,8,3,7
167,0-25,jv_slovenija,c,8,9,7,8,3
168,0-25,koroska,c,9,6,10,5,10
169,0-25,jv_slovenija,c,9,3,3,5,2
170,0-25,goriska,b,9,4,8,4,9
171,0-25,gorenjska,c,10,8,10,5,10
172,0-25,podravska,d,10,6,5,4,5
173,0-25,osrednjeslovenska,b,1,10,1,1,5
174,0-25,jv_slovenija,e,5,5,5,5,5
175,0-25,osrednjeslovenska,b,10,10,8,8,6
176,0-25,goriska,c,8,10,5,7,8
177,0-25,osrednjeslovenska,c,8,5,5,10,1
178,0-25,osrednjeslovenska,d,9,10,10,1,6
179,0-25,osrednjeslovenska,c,8,8,8,7,8
180,0-25,koroska,b,10,10,10,5,5
181,26-35,osrednjeslovenska,c,8,8,8,7,7
182,0-25,gorenjska,b,7,6,8,1,3
183,0-25,obalno_kraska,b,5,7,5,4,5
184,0-25,pomurska,d,10,10,10,5,9
185,26-35,osrednjeslovenska,c,10,10,8,10,1
186,0-25,podravska,d,8,10,8,5,7
187,0-25,pomurska,b,7,10,6,5,5
188,0-25,primorsko_notranjska,e,9,7,8,3,5
189,0-25,osrednjeslovenska,a,7,4,8,5,9
190,36-45,osrednjeslovenska,c,10,4,8,7,7
191,0-25,osrednjeslovenska,c,6,8,7,9,3
192,0-25,pomurska,c,9,7,6,5,6
193,0-25,savinjska,c,9,3,1,3,1
194,0-25,osrednjeslovenska,c,8,8,8,5,8
195,0-25,gorenjska,c,3,3,6,6,6
196,0-25,podravska,c,8,9,8,5,5
197,0-25,osrednjeslovenska,c,7,5,6,6,6
198,0-25,osrednjeslovenska,a,7,9,7,6,8
199,0-25,osrednjeslovenska,b,7,8,9,5,4
200,0-25,osrednjeslovenska,c,9,8,8,3,4
201,0-25,osrednjeslovenska,d,9,9,8,6,6
202,0-25,osrednjeslovenska,d,8,9,7,5,4
203,0-25,obalno_kraska,spomin,8,9,7,10,7
204,0-25,osrednjeslovenska,d,10,6,8,7,9
205,0-25,gorenjska,c,8,8,8,6,6
206,0-25,posavska,c,8,6,8,10,2
207,0-25,osrednjeslovenska,e,7,6,9,4,8
208,0-25,obalno_kraska,d,8,9,7,8,4
209,0-25,obalno_kraska,b,7,10,8,4,9
